//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// Lehrer
m	444	623	0	0	0	7	1m	100	1	20340
m	444	627	0	0	0	7	1m	100	1	20341
m	444	631	0	0	0	7	1m	100	1	20342
m	444	635	0	0	0	7	1m	100	1	20343
m	444	644	0	0	0	7	1m	100	1	20344
m	444	648	0	0	0	7	1m	100	1	20345
m	444	652	0	0	0	7	1m	100	1	20346
m	444	656	0	0	0	7	1m	100	1	20347
//m	429	654	0	0	0	6	1m	100	1	20402
// Normale Npcs
m	430	607	0	0	0	8	1m	100	1	9001
//m	431	608	0	0	0	8	1m	100	1	9007
m	403	586	0	0	0	1	1m	100	1	9002
//m	402	586	0	0	0	1	1m	100	1	9008
m	379	693	0	0	0	5	1m	100	1	9003
m	315	560	0	0	0	3	1m	100	1	9005
m	416	675	0	0	0	6	1m	100	1	9006
m	384	693	0	0	0	5	1m	100	1	20016
m	410	543	0	0	0	1	1m	100	1	20406
m	352	739	0	0	0	1	1m	100	1	20417
m	355	741	0	0	0	1	1m	100	1	20506
m	323	733	0	0	0	3	1m	100	1	20421
m	468	576	0	0	0	8	1m	100	1	20095
m	289	575	0	0	0	5	1m	100	1	20015
// 어부들----------------------------------------------------------------------------
m	711	234	0	0	0	0	1m	100	1	9009
m	732	390	0	0	0	0	1m	100	1	9009
m	772	472	0	0	0	0	1m	100	1	9009
m	763	809	0	0	0	0	1m	100	1	9009
m	773	905	0	0	0	0	1m	100	1	9009
m	428	480	0	0	0	0	1m	100	1	9009
m	386	849	0	0	0	0	1m	100	1	9009
m	819	315	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	396	735	0	0	0	2	1m	100	1	20349
m	340	747	0	0	0	7	1m	100	1	20008
m	449	533	0	0	0	0	1m	100	1	20023
m	342	565	1	1	0	0	1m	100	1	20002
m	355	626	0	0	0	3	1m	100	1	20003
//g	323	617	1	1	0	0	1m	100	1	11003
m	289	729	0	0	0	4	1m	100	1	20005
m	336	770	1	1	0	0	1m	100	1	20006
m	428	709	0	0	0	5	1m	100	1	20011
m	464	609	1	1	0	0	1m	100	1	20018
// 워프----------------------------------------------------------------------------------
m	137	126	0	0	0	0	1m	100	1	10005
// 워프용 npc
m	125	1118	0	0	0	4	1m	100	1	20009
m	430	683	0	0	0	2	1m	100	1	9012
// 길드
m	381	639	0	0	0	9	1m	100	1	11004
m	430	651	0	0	0	7	1m	100	1	11005
// 근면의 훈장 이벤트용 NPC
m	323	617	1	1	0	0	1m	100	1	20041

// QuestNPC-------------------------------------------------------------------------------
m	293	639	0	0	0	2	1m	100	1	20355
m	468	714	0	0	0	0	1m	100	1	20354
m	771	78	0	0	0	0	1m	100	1	20358
m	114	960	0	0	0	0	1m	100	1	20357
m	289	286	0	0	0	3	1m	100	1	20084
// 이벤트용 NPC
m	447	928	0	0	0	0	1m	100	1	20086
m	456	936	0	0	0	0	1m	100	1	20087
m	300	867	0	0	0	0	1m	100	1	20090
// over9제련 NPC
m	299	811	0	0	0	1	1m	100	1	20001
m	371	693	0	0	0	5	1m	100	1	9013
m	281	670	0	0	0	5	1m	100	1	20094
m	360	609	0	0	0	10	1m	100	1	9073
m	382	734	0	0	0	0	1m	100	1	30490
m	380	738	0	0	0	0	1m	100	1	30490
m	380	743	0	0	0	0	1m	100	1	30491
m	386	741	0	0	0	0	1m	100	1	30491
m	386	738	0	0	0	0	1m	100	1	30492
m	383	738	0	0	0	0	1m	100	1	30492
m	352	620	0	0	0	10	1m	100	1	6627
m	381	590	0	0	0	10	1m	100	1	25170
m	448	576	0	0	0	9	1m	100	1	25171
m	446	686	0	0	0	8	1m	100	1	20091
m	417	628	0	0	0	7	1m	100	1	7181
m	417	630	0	0	0	7	1m	100	1	22810
// Event Npc
m	415	648	0	0	0	5	1m	100	1	22811
m	409	609	0	0	0	8	1m	100	1	22819
