//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
// 군직 NPC
m	623	595	0	0	0	1	1m	100	1	20320
m	627	595	0	0	0	1	1m	100	1	20321
m	631	595	0	0	0	1	1m	100	1	20322
m	635	595	0	0	0	1	1m	100	1	20323
m	645	595	0	0	0	1	1m	100	1	20324
m	649	595	0	0	0	1	1m	100	1	20325
m	653	595	0	0	0	1	1m	100	1	20326
m	657	595	0	0	0	1	1m	100	1	20327
m	647	604	0	0	0	1	1m	100	1	20402
// 상점 주인들
m	676	662	0	0	0	6	1m	100	1	9001
m	676	617	0	0	0	7	1m	100	1	9002
m	589	690	0	0	0	4	1m	100	1	9003
m	607	594	0	0	0	2	1m	100	1	9005
m	588	633	0	0	0	1	1m	100	1	9006
m	599	699	0	0	0	5	1m	100	1	20016
m	717	683	0	0	0	8	1m	100	1	20406
m	598	667	0	0	0	1	1m	100	1	20417
m	601	670	0	0	0	1	1m	100	1	20506
m	656	685	0	0	0	7	1m	100	1	20421
m	615	564	0	0	0	3	1m	100	1	20095
m	516	687	0	0	0	6	1m	100	1	20015
// 어부들----------------------------------------------------------------------------
m	675	539	0	0	0	0	1m	100	1	9009
m	742	879	0	0	0	0	1m	100	1	9009
m	206	552	0	0	0	0	1m	100	1	9009
m	218	679	0	0	0	0	1m	100	1	9009
m	221	865	0	0	0	0	1m	100	1	9009
m	231	976	0	0	0	0	1m	100	1	9009
m	234	1077	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	546	609	0	0	0	2	1m	100	1	20349
m	581	620	0	0	0	1	1m	100	1	20008
m	692	577	0	0	0	0	1m	100	1	20023
m	554	597	1	1	0	0	1m	100	1	20002
m	553	663	1	1	0	0	1m	100	1	20003
//g	659	772	1	1	0	0	1m	100	1	11003
m	725	699	0	0	0	6	1m	100	1	20005
m	717	633	1	1	0	0	1m	100	1	20006
m	615	555	0	0	0	3	1m	100	1	20011
m	674	590	1	1	0	0	1m	100	1	20018
g	531	602	1	1	0	0	1m	100	1	12007
// 워프-----------------------------------------------------------------------------------
m	876	1127	0	0	0	0	1m	100	1	10003
// 워프용 npc
m	908	87	0	0	0	0	1m	100	1	20009
m	519	514	0	0	0	0	1m	100	1	9012
//m	614	116	0	0	0	3	1m	100	1	10085
// 길드
m	638	638	0	0	0	0	1m	100	1	11002
m	623	617	0	0	0	0	1m	100	1	11003
// 왜구 -----------------------------------------------------------------------------------
// 근면의 훈장 이벤트용 NPC
m	659	772	1	1	0	0	1m	100	1	20041
// QuestNPC-------------------------------------------------------------------------------
m	615	696	0	0	0	4	1m	100	1	20355
m	571	558	0	0	0	0	1m	100	1	20354
m	250	1104	0	0	0	0	1m	100	1	20358
m	614	1167	0	0	0	0	1m	100	1	20357
m	898	797	0	0	0	0	1m	100	1	20084
// 이벤트용 NPC
m	864	823	0	0	0	0	1m	100	1	20086
m	854	827	0	0	0	0	1m	100	1	20087
m	538	784	0	0	0	0	1m	100	1	20090
// over9제련 NPC
m	660	734	0	0	0	6	1m	100	1	20001
m	591	674	0	0	0	10	1m	100	1	9073
m	700	655	0	0	0	4	1m	100	1	20094
m	583	684	0	0	0	4	1m	100	1	6627
m	699	620	0	0	0	2	1m	100	1	25170
m	692	623	0	0	0	2	1m	100	1	25171
m	584	685	0	0	0	4	1m	100	1	9013
m	600	669	0	0	0	4	1m	100	1	20091
m	612	678	0	0	0	4	1m	100	1	7181
m	614	680	0	0	0	4	1m	100	1	22810
// Event Npc
m	611	614	0	0	0	8	1m	100	1	22811
m	659	608	0	0	0	8	1m	100	1	22819
